  r          R           theta    pr             pR         pt
 3.109086  3.937413  1.523968  -327.321205  27.069395  0.000000  -1290.495400  
 3.564209  3.880104  1.484082  43.464454  -27.490912  0.000000  -1290.495400  
 2.777678  3.692093  1.534290  448.035735  -26.018291  0.000000  -1290.495400  
 2.385837  3.662946  1.563322  180.214702  22.079144  0.000000  -1290.495400  
 3.368334  3.673040  1.605265  -198.891460  21.130110  0.000000  -1290.495400  
 3.399029  3.855871  1.509112  -181.361943  -32.518947  0.000000  -1290.495400  
 3.413899  3.840613  1.625697  -172.533651  33.843388  0.000000  -1290.495400  
 2.786337  3.845285  1.578486  -446.074564  36.657568  0.000000  -1290.495400  
 2.615638  3.875171  1.643889  -457.530283  30.069020  0.000000  -1290.495400  
 3.310189  3.889890  1.617401  230.195238  -32.059945  0.000000  -1290.495400  
 2.416400  3.802986  1.520569  281.134098  -34.680137  0.000000  -1290.495400  
 3.184072  3.944581  1.649264  292.689177  22.908289  0.000000  -1290.495400  
 2.626684  3.869674  1.589154  -459.121722  -35.073511  0.000000  -1290.495400  
 2.960311  3.768981  1.533039  390.091158  35.184351  0.000000  -1290.495400  
 2.504797  3.934427  1.639054  -408.348795  25.531101  0.000000  -1290.495400  
 2.633254  4.011598  1.524209  459.863733  -10.061831  0.000000  -1290.495400  
 2.553522  3.850953  1.603501  -438.868233  -35.448003  0.000000  -1290.495400  
 2.958772  3.661764  1.619869  -390.687708  -7.615684  0.000000  -1290.495400  
 3.371168  3.951094  1.585727  197.307207  26.467270  0.000000  -1290.495400  
 2.782610  3.826238  1.593833  -446.931487  36.841799  0.000000  -1290.495400  
 2.498517  4.001789  1.619340  -403.009314  13.778870  0.000000  -1290.495400  
 3.560888  3.856363  1.532856  49.350429  34.843274  0.000000  -1290.495400  
 3.488887  3.919200  1.537574  122.620089  30.106440  0.000000  -1290.495400  
 3.509525  3.807188  1.606820  106.176168  36.222305  0.000000  -1290.495400  
 2.811724  3.880032  1.514156  439.751160  -31.855805  0.000000  -1290.495400  
 3.281255  3.857636  1.641210  -245.083483  -31.226630  0.000000  -1290.495400  
 2.865531  3.692003  1.578303  423.927191  -29.484310  0.000000  -1290.495400  
 2.958359  3.785637  1.573257  -390.847673  37.646387  0.000000  -1290.495400  
 3.501274  3.702422  1.618784  112.972221  25.549423  0.000000  -1290.495400  
 3.177343  3.714051  1.503760  295.868132  21.656504  0.000000  -1290.495400  
 3.409661  3.855260  1.608558  -175.075033  -34.909276  0.000000  -1290.495400  
 3.001990  3.863248  1.608527  373.463143  -34.499729  0.000000  -1290.495400  
 3.223957  4.007012  1.575199  273.548819  13.931696  0.000000  -1290.495400  
 3.092801  4.011514  1.572607  334.606349  12.223708  0.000000  -1290.495400  
 3.525013  3.683212  1.506995  92.360073  11.162156  0.000000  -1290.495400  
 3.298481  3.691873  1.627577  236.266536  -19.578459  0.000000  -1290.495400  
 3.528545  3.874104  1.627513  -88.962332  32.216087  0.000000  -1290.495400  
 2.718631  3.872377  1.604380  -458.256598  34.214040  0.000000  -1290.495400  
 3.225979  3.927211  1.600779  272.564672  29.313779  0.000000  -1290.495400  
 3.544220  3.846961  1.504655  72.268595  -32.186763  0.000000  -1290.495400  
 2.406998  3.686762  1.499665  -256.420536  4.348175  0.000000  -1290.495400  
 3.502422  3.907180  1.543316  112.045865  31.645807  0.000000  -1290.495400  
 3.048285  3.693183  1.603119  -354.053473  27.085157  0.000000  -1290.495400  
 3.505811  3.789535  1.537159  -109.276398  -36.268283  0.000000  -1290.495400  
 3.408081  3.969857  1.590909  -176.017314  23.105881  0.000000  -1290.495400  
 3.488824  3.779392  1.566056  122.667583  37.508294  0.000000  -1290.495400  
 3.542986  4.005270  1.575509  -73.703552  14.536659  0.000000  -1290.495400  
 3.178197  3.897426  1.498558  -295.465484  -28.759478  0.000000  -1290.495400  
 2.454099  3.922898  1.543977  352.174435  -29.960800  0.000000  -1290.495400  
 2.558009  3.906930  1.525034  -440.868179  -30.630975  0.000000  -1290.495400  
 3.357104  3.981677  1.646070  -205.109162  -16.539746  0.000000  -1290.495400  
 3.505594  4.002889  1.495826  109.455084  9.905220  0.000000  -1290.495400  
 3.329113  3.736691  1.643909  220.232623  24.173919  0.000000  -1290.495400  
 3.410452  3.961913  1.650458  174.602577  20.006218  0.000000  -1290.495400  
 3.544445  3.781398  1.557357  72.004952  -37.345189  0.000000  -1290.495400  
 3.534591  3.804202  1.490576  -82.873669  29.143176  0.000000  -1290.495400  
 3.551692  3.742737  1.613204  62.958754  -32.725395  0.000000  -1290.495400  
 3.512980  3.783484  1.550953  103.225888  -37.110636  0.000000  -1290.495400  
 3.293699  3.869997  1.493399  238.727530  -29.630780  0.000000  -1290.495400  
 3.511044  3.991664  1.514513  -104.887551  -16.160546  0.000000  -1290.495400  
 3.348054  3.710119  1.621602  -210.054220  26.398833  0.000000  -1290.495400  
